,,,,,,,,,,,Tham chiếu,TỶ TRỌNG TỪNG THÀNH PHẦN,C,A,TỔNG ĐIỂM
,,,,,,,,,,,,,,,
Tiêu chí SALE,1 Quý gần nhất (C) ,,,,Q1 2020,Q1 2021,,,,,,,,,
,,,,,,,,,,,,,,,
,1 Quý trước đó gần nhất (C) ,,,,Q4 2019,Q4 2020,,,,,,,,,
,,,,,,,,,,,,,,,
,Trailing 12 tháng gần nhất (A),Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,,,,,,
,,,,,,,,,,,,,,,
,Trailing 12 tháng gần nhất trước đó (A),Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tiêu chí EPS,1 Quý gần nhất (C) ,,,,Q1 2020,Q1 2021,,,,,,,,,
,,,,,,,,,,,,,,,
,1 Quý trước đó gần nhất (C) ,,,,Q4 2019,Q4 2020,,,,,,,,,
,,,,,,,,,,,,,,,
,Trailing 12 tháng gần nhất (A),Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,,,,,,
,,,,,,,,,,,,,,,
,Trailing 12 tháng gần nhất trước đó (A),Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,,,,,,
,, ,,,,,,,,,,,,,
